,rowid,pollid,pollster,location,startdate,enddate,samplesize,sampletype,methodology,candidate,percent
44,51,63131,Quinnipiac University,,12/11/19,12/15/19,567,rv,Live Phone,Bloomberg,7.0
45,52,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Biden,31.0
46,53,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Sanders,22.0
47,54,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Warren,15.0
48,55,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Buttigieg,8.0
49,56,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Bloomberg,7.0
50,57,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Yang,4.0
51,58,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Booker,3.0
52,59,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Steyer,3.0
53,60,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Gabbard,2.0
54,61,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Klobuchar,2.0
55,62,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Bennet,1.0
56,63,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Castro,1.0
57,64,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Delaney,1.0
58,65,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Williamson,1.0
59,66,63132,Morning Consult,,12/9/19,12/15/19,13384,lv,Online,Patrick,0.0
60,67,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Biden,29.0
61,68,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Sanders,13.0
62,69,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Warren,13.0
63,70,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Buttigieg,5.0
64,71,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Bloomberg,5.0
65,72,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Castro,4.0
66,73,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Klobuchar,3.0
67,74,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Yang,3.0
68,75,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Steyer,3.0
69,76,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Booker,2.0
70,77,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Delaney,2.0
71,78,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Patrick,2.0
72,79,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Gabbard,1.0
73,80,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Bennet,1.0
74,81,63149,Harris Insights & Analytics,,12/13/19,12/14/19,456,rv,Online,Williamson,0.0
75,85,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Biden,23.18
76,86,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Sanders,14.06
77,87,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Warren,12.76
78,88,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Buttigieg,8.33
79,89,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Bloomberg,5.99
80,90,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Klobuchar,3.39
81,91,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Bennet,0.0
82,92,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Booker,2.6
83,93,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Castro,0.0
84,94,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Delaney,0.0
85,95,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Gabbard,0.52
86,96,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Patrick,0.26
87,97,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Steyer,0.78
88,98,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Williamson,0.0
89,99,63116,Suffolk University,,12/10/19,12/14/19,384,lv,Live Phone,Yang,2.08
90,100,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Biden,26.0
91,101,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Sanders,18.0
92,102,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Warren,14.0
93,103,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Buttigieg,9.0
94,104,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Bloomberg,5.0
95,105,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Booker,3.0
96,106,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Steyer,2.0
97,107,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Klobuchar,2.0
98,108,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Yang,2.0
99,109,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Castro,1.0
100,110,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Gabbard,1.0
101,111,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Bennet,1.0
102,112,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Williamson,0.0
103,113,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Delaney,0.0
104,114,63118,IBD/TIPP,,12/5/19,12/14/19,312,rv,Live Phone,Patrick,0.0
105,115,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Biden,24.0
106,116,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Sanders,22.0
107,117,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Warren,17.0
108,118,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Buttigieg,13.0
109,119,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Yang,5.0
110,120,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Bloomberg,4.0
111,121,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Klobuchar,4.0
112,122,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Booker,4.0
113,123,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Castro,1.0
114,124,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Gabbard,1.0
115,125,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Bennet,1.0
116,126,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Steyer,0.0
117,127,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Patrick,0.0
118,128,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Williamson,0.0
119,129,63117,Marist College,,12/9/19,12/11/19,704,rv,Live Phone,Delaney,0.0
120,130,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Biden,30.0
121,131,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Sanders,20.0
122,132,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Warren,13.0
123,133,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Buttigieg,7.0
124,134,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Bloomberg,5.0
125,135,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Klobuchar,5.0
126,136,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Gabbard,3.0
127,137,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Yang,3.0
128,138,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Booker,2.0
129,139,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Bennet,1.0
130,140,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Castro,1.0
131,141,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Steyer,1.0
132,142,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Williamson,1.0
133,143,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Delaney,0.0
134,144,63115,Fox News/Beacon Research/Shaw & Co. Research,,12/8/19,12/11/19,453,lv,Live Phone,Patrick,0.0
135,145,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Biden,27.0
136,146,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Sanders,20.0
137,147,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Warren,19.0
138,148,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Buttigieg,9.0
139,149,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Booker,5.0
140,150,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Steyer,5.0
141,151,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Gabbard,4.0
142,152,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Bloomberg,3.0
143,153,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Klobuchar,2.0
144,154,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Yang,2.0
145,155,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Patrick,1.0
146,156,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Williamson,1.0
147,157,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Bennet,0.0
148,158,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Castro,0.0
149,159,63091,Change Research,South Carolina,12/6/19,12/11/19,392,lv,Online,Delaney,0.0
150,160,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Booker,3.6
151,161,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Biden,23.3
152,162,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Sanders,21.7
153,163,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Warren,12.2
154,164,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Buttigieg,17.9
155,165,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Bloomberg,1.9
156,166,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Yang,1.7
157,167,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Klobuchar,10.1
158,168,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Gabbard,1.7
159,169,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Steyer,3.4
160,170,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Patrick,0.0
161,171,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Castro,0.0
162,172,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Bennet,0.0
163,173,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Delaney,0.0
164,174,63060,Emerson College,Iowa,12/7/19,12/10/19,325,lv,IVR/Online,Williamson,0.0
165,178,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Biden,26.0
166,179,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Warren,21.0
167,180,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Sanders,16.0
168,181,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Buttigieg,11.0
169,182,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Bloomberg,4.0
170,183,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Yang,3.0
171,184,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Gabbard,3.0
172,185,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Booker,3.0
173,186,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Klobuchar,2.0
174,187,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Bennet,1.0
175,188,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Castro,1.0
176,189,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Steyer,1.0
177,190,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Delaney,0.0
178,191,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Patrick,0.0
179,192,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Bullock,0.0
180,193,63065,YouGov,,12/7/19,12/10/19,497,lv,Online,Williamson,0.0
181,194,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Sanders,26.0
182,195,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Warren,23.0
183,196,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Biden,19.0
184,197,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Buttigieg,12.0
185,198,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Yang,4.0
186,199,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Bloomberg,3.0
187,200,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Gabbard,3.0
188,201,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Booker,3.0
189,202,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Castro,3.0
190,203,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Steyer,2.0
191,204,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Klobuchar,1.0
192,205,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Williamson,1.0
193,206,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Bennet,0.0
194,207,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Delaney,0.0
195,208,63130,Change Research,California,12/6/19,12/10/19,862,lv,Online,Patrick,0.0
196,209,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Biden,29.0
197,210,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Sanders,17.0
198,211,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Warren,15.0
199,212,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Booker,1.0
200,213,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Klobuchar,3.0
201,214,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Castro,1.0
202,215,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Gabbard,2.0
203,216,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Delaney,1.0
204,217,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Buttigieg,9.0
205,218,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Yang,4.0
206,219,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Williamson,1.0
207,220,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Bennet,1.0
208,221,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Steyer,1.0
209,222,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Patrick,0.0
210,223,63055,Quinnipiac University,,12/4/19,12/9/19,665,rv,Live Phone,Bloomberg,5.0
211,227,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Biden,35.0
212,228,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Sanders,15.0
213,229,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Warren,13.0
214,230,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Buttigieg,9.0
215,231,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Bloomberg,5.0
216,232,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Castro,3.0
217,233,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Yang,3.0
218,234,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Booker,2.0
219,235,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Steyer,2.0
220,236,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Bennet,1.0
221,237,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Gabbard,1.0
222,238,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Klobuchar,1.0
223,239,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Patrick,1.0
224,240,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Williamson,0.0
225,241,63084,SSRS,Texas,12/4/19,12/9/19,327,lv,Live Phone,Delaney,0.0
226,242,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Biden,26.0
227,243,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Sanders,21.0
228,244,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Warren,17.0
229,245,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Buttigieg,8.0
230,246,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Bloomberg,5.0
231,247,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Klobuchar,4.0
232,248,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Yang,3.0
233,249,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Booker,2.0
234,250,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Castro,1.0
235,251,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Patrick,1.0
236,252,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Steyer,1.0
237,253,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Gabbard,0.0
238,254,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Williamson,0.0
239,255,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Bennet,0.0
240,256,63041,Monmouth University,,12/4/19,12/8/19,384,rv,Live Phone,Delaney,0.0
241,260,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Biden,21.0
242,261,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Sanders,20.0
243,262,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Warren,17.0
244,263,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Buttigieg,9.0
245,264,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Yang,6.0
246,265,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Bloomberg,5.0
247,266,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Booker,3.0
248,267,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Gabbard,2.0
249,268,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Klobuchar,2.0
250,269,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Castro,1.0
251,270,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Steyer,1.0
252,271,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Bennet,0.0
253,272,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Delaney,0.0
254,273,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Patrick,0.0
255,274,63083,SSRS,California,12/4/19,12/8/19,508,lv,Live Phone,Williamson,0.0
256,278,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Bennet,0.0
257,279,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Biden,17.0
258,280,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Bloomberg,2.0
259,281,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Booker,1.0
260,282,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Buttigieg,18.0
261,283,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Castro,0.0
262,284,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Delaney,0.0
263,285,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Gabbard,5.0
264,286,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Klobuchar,3.0
265,287,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Patrick,0.0
266,288,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Sanders,15.0
267,289,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Steyer,3.0
268,290,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Warren,12.0
269,291,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Williamson,1.0
270,292,63061,MassINC Polling Group,New Hampshire,12/3/19,12/8/19,442,lv,Live Phone,Yang,5.0
271,293,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Biden,23.0
272,294,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Sanders,19.0
273,295,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Warren,16.0
274,296,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Buttigieg,15.0
275,297,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Booker,4.0
276,298,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Yang,3.0
277,299,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Bloomberg,3.0
278,300,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Klobuchar,3.0
279,301,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Gabbard,1.0
280,302,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Bennet,0.0
281,303,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Castro,0.0
282,304,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Delaney,0.0
283,305,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Steyer,0.0
284,306,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Williamson,0.0
285,307,63090,Marquette University Law School,Wisconsin,12/3/19,12/8/19,358,lv,Live Phone,Patrick,0.0
